"categoria","data","lancamento","valor","dt_competencia"
Alimentação,2023-10-01,MERCADO OBA OBA LTDA M,30.87,2025-03-06
Utilidade Casa,2023-10-01,ZELO,32.83,2025-03-06
Internet,2023-10-01,VIVO EASY,33.0,2025-03-06
ELETRÔNICO,2023-10-01,AMAZON BR,33.9,2025-03-06
ALIMENTAÇÃO,2023-10-01,MARKET4U*COMPRA*172916,28.98,2025-03-06
Ferramentas,2023-10-01,MP*VSRMOTOS,31.54,2025-03-06
Alimentação,2023-10-01,MERCADO OBA OBA LTDA M,33.3,2025-03-06
Produtos Saúde,2023-10-01,DROGARIA SAO PAULO 002,61.96,2025-03-06
Alimentação,2023-10-01,MERCADO OBA OBA LTDA M,8.81,2025-03-06
Pet,2023-10-01,PET LOVE*ORDER10381887,128.44,2025-03-06
Pet,2023-10-01,PAG*LUIZCARLOSDOS,6.0,2025-03-06
Alimentação,2023-10-01,NESTLE BRASIL LTDA.,43.48,2025-03-06
Restaurante,2023-10-01,IFOOD  *IFD*PATTIES V,49.37,2025-03-06
Alimentação,2023-10-01,CORNERSHOP,193.2,2025-03-06
Restaurante,2023-10-01,MARKET4U*COMPRA*173545,4.3,2025-03-06
ELETRÔNICO,2023-10-01,SHOPEE*183567143181331,17.68,2025-03-06
Outros,2023-10-18,CULTS3D.COM,0.29,2025-03-06
Outros,2023-10-18,CULTS3D.COM,5.34,2025-03-06
Alimentação,2023-10-18,CORNERSHOP,3.67,2025-03-06
Vestimenta,2023-06-19,UA BRASIL,43.69,2025-03-06
Assinatura,2023-10-19,DL*GOOGLE YOUTUB,24.9,2025-03-06
Alimentação,2023-10-19,PAG*MERCADOOBAOBA,8.89,2025-03-06
Curso ,2023-10-19,DATACAMP INC.,16.85,2025-03-06
Curso ,2023-10-19,DATACAMP INC.,313.23,2025-03-06
Vestimenta,2023-09-20,MLP*NETSHOES,74.44,2025-03-06
ELETRÔNICO,2023-09-20,SHOPEE,34.46,2025-03-06
Utilidade Casa,2023-09-20,ALIEXPRESS,30.1,2025-03-06
RESTAURANTE,2023-10-20,MERCADO OBA OBA LTDA M,12.41,2025-03-06
Restaurante,2023-10-20,IFOOD  *IFD*ESFIHA IM,64.49,2025-03-06
Presentes,2023-08-21,MERCADOLIVRE*DELUCAJOIAS,37.99,2025-03-06
Utilidade Casa,2023-10-21,LOJAO DE VARIEDAD,30.0,2025-03-06
Utilidade Casa,2023-10-21,LOJAO DE VARIEDAD,40.5,2025-03-06
Restaurante,2023-10-22,IFOOD  *IFD*MAX DOG H,26.99,2025-03-06
Alimentação,2023-10-23,MERCADO OBA OBA LTDA M,24.68,2025-03-06
ALIMENTAÇÃO,2023-10-23,PAG*MARKET4U,4.31,2025-03-06
Outros,2023-09-24,STEAMGAMES.COM 4259522985,42.57,2025-03-06
Restaurante,2023-09-24,IFD*MCDONALDS - CURSINOC,32.92,2025-03-06
Outros,2023-09-24,STEAMGAMES.COM 4259522985,2.29,2025-03-06
Restaurante,2023-09-24,IFD*MCDONALDS - CURSINOC,-15.9,2025-03-06
Alimentação,2023-10-24,CORNERSHOP,115.06,2025-03-06
Alimentação,2023-10-24,PAG*FRANCISCOMEKARU,40.0,2025-03-06
Internet,2023-10-24,CONTA VIVO,289.6,2025-03-06
Alimentação,2023-10-24,COPA RIO ACOUGUE,67.96,2025-03-06
Restaurante,2023-10-24,PAG*MARKET4U,6.92,2025-03-06
Alimentação,2023-10-24,CORNERSHOP,4.88,2025-03-06
ALIMENTAÇÃO,2023-10-24,PAG*GLEISERLOMASDOS,16.0,2025-03-06
Alimentação,2023-09-25,CORNERSHOP,127.62,2025-03-06
Alimentação,2023-09-25,CORNERSHOP,1.85,2025-03-06
Alimentação,2023-09-25,MERCADO OBA OBA LTDA M,11.73,2025-03-06
ALIMENTAÇÃO,2023-10-25,PAG*MARKET4U,4.31,2025-03-06
Alimentação,2023-10-25,MERCADO OBA OBA LTDA M,11.15,2025-03-06
Eletrônico,2023-06-26,AMAZON MARKETPLACE,51.5,2025-03-06
Utilidade Casa,2023-08-26,CARREFOUR COM,53.62,2025-03-06
Vestimenta,2023-08-26,CEA SCN 160 ECPC,60.65,2025-03-06
Restaurante,2023-09-26,IFOOD  *IFD*PATTIES V,84.0,2025-03-06
Alimentação,2023-09-26,PAG*FRANCISCOMEKARU,20.0,2025-03-06
ELETRÔNICO,2023-09-26,SHOPEE,19.54,2025-03-06
Eletrônico,2023-08-27,SHOPEE*467074835944788,23.92,2025-03-06
ELETRÔNICO,2023-09-27,AMAZON BR,36.36,2025-03-06
ALIMENTAÇÃO,2023-09-27,MARKET4U*COMPRA*168193,27.91,2025-03-06
ELETRÔNICO,2023-09-27,AMAZON BR,12.31,2025-03-06
Manutenção,2023-07-28,AUTOZONE,52.96,2025-03-06
Alimentação,2023-09-28,CORNERSHOP,136.91,2025-03-06
Alimentação,2023-09-28,CORNERSHOP,115.15,2025-03-06
Alimentação,2023-09-28,CORNERSHOP,0.9,2025-03-06
Restaurante,2023-09-29,IFOOD  *IFD*CASA DA S,66.6,2025-03-06
ALIMENTAÇÃO,2023-09-29,MARKET4U*COMPRA*168692,4.3,2025-03-06
Restaurante,2023-09-30,MR PRETZELS - MOOCA,15.0,2025-03-06
Restaurante,2023-09-30,KALUNGA SHOPPING,10.49,2025-03-06
Estacionamento,2023-10-01,connectcar,100.0,2025-03-06
UTILIDADE CASA,2023-10-01,AMAZON MARKETPLACE,54.95,2025-03-06
ALIMENTAÇÃO,2023-10-01,MARKET4U*COMPRA*169401,7.69,2025-03-06
ALIMENTAÇÃO,2023-10-01,MARKET4U*COMPRA*169579,8.92,2025-03-06
Manutenção,2023-10-01,MERCADOLIVRE*3PRODUTOS,134.54,2025-03-06
Manutenção,2023-10-01,MERCADOLIVRE*3PRODUTOS,149.9,2025-03-06
Pet,2023-10-01,PAG*LUIZCARLOSDOS,6.0,2025-03-06
Alimentação,2023-10-01,PAG*FRANCISCOMEKARU,30.0,2025-03-06
Manutenção,2023-10-01,MERCADOLIVRE*MARQUESPECAS,38.32,2025-03-06
Viagem,2023-03-04,AZUL WE*SHYV7MRODRIGU,238.86,2025-03-06
Curso ,2023-10-01,COURSRA*7Z20LY32FNLYZV,262.88,2025-03-06
Curso ,2023-10-01,COURSRA*7Z20LY32FNLYZV,14.14,2025-03-06
Restaurante,2023-10-01,IFOOD  *IFD*PATTIES V,58.99,2025-03-06
ALIMENTAÇÃO,2023-10-01,MARKET4U*COMPRA*170196,4.3,2025-03-06
RESTAURANTE,2023-10-01,VILLENUEVE,50.0,2025-03-06
ELETRÔNICO,2023-10-01,AMAZON BR,39.9,2025-03-06
Restaurante,2023-10-01,MARKET4U*COMPRA*170462,3.66,2025-03-06
Alimentação,2023-10-01,"5M COMERCIO ATACADISTA",46.61,2025-03-06
RESTAURANTE,2023-10-01,OPM OUTLET PREMIUM,31.8,2025-03-06
Combustível,2023-10-01,ECO POSTO BANDEIRANTES,87.52,2025-03-06
Restaurante,2023-10-01,KOP OUTLET PREMIUM ITU,32.13,2025-03-06
Vestimenta,2023-10-01,ADIDAS,80.49,2025-03-06
Restaurante,2023-10-01,LINDT  SPRUNGLI BRAZIL,23.92,2025-03-06
Vestimenta,2023-10-01,FILA ITUPEVA,56.65,2025-03-06
Vestimenta,2023-10-01,LOJA UNDER ARMOUR ITUP,59.49,2025-03-06
Restaurante,2023-10-01,STAR 224 - OUTLET PREM,41.0,2025-03-06
Manutenção,2023-10-01,MERCADOLIVRE*HIPERVAREJO,60.14,2025-03-06
Ferramentas,2023-10-01,MERCADOLIVRE*PALACIODASFE,34.72,2025-03-06
Vestimenta,2023-10-01,CENTAURO COM BR,72.05,2025-03-06
Utilidade Casa,2023-10-01,TELHA NORTE,51.59,2025-03-06
ELETRÔNICO,2023-10-01,SHOPEE,24.93,2025-03-06
ELETRÔNICO,2023-10-01,AMAZON BR,33.58,2025-03-06
Alimentação,2023-10-01,MERCADO OBA OBA LTDA M,10.42,2025-03-06
Alimentação,2023-10-01,MARKET4U*COMPRA*171649,4.3,2025-03-06
Vestimenta,2023-10-01,CR          *CHICO REI,39.93,2025-03-06
Alimentação,2023-10-01,MERCADO OBA OBA LTDA M,30.7,2025-03-06
Restaurante,2023-10-01,IFD*MCDONALDS - CURSINOC,24.84,2025-03-06
Restaurante,2023-10-01,IFD*PATTIES VILA MARIANA,75.0,2025-03-06
Produtos Saúde,2023-10-01,NATUS OTICA II,159.83,2025-03-06
Eletrônico,2023-03-12,AMAZON BR,114.99,2025-03-06
Planos,2023-03-12,AZUL WE*HCU6VLBRITO,311.8,2025-03-06
Planos,2023-03-12,AZUL WE*WDVIQLBRITO,316.14,2025-03-06
Pet,2023-10-01,COBASI IMIGRANTES,92.55,2025-03-06
Alimentação,2023-10-01,MARKET4U*COMPRA*172069,6.92,2025-03-06
Produtos Saúde,2023-10-01,DROGARIA SAO PAULO 002,71.9,2025-03-06
Restaurante,2023-10-01,IFD*SPOLETO - SHOP PLAZA,37.17,2025-03-06
Alimentação,2023-10-01,"5M COMERCIO ATACADISTA",135.66,2025-03-06
Pet,2023-10-01,MERCADOLIVRE*OLISTSERVICO,56.16,2025-03-06
Restaurante,2023-10-01,IFOOD  *IFD*PIZZARIA,71.9,2025-03-06
UTILIDADE CASA,2023-10-01,MERCADOLIVRE*MMPLACE,37.05,2025-03-06
Alimentação,2023-10-01,NESTLE BRASIL LTDA.,36.12,2025-03-06
Alimentação,2023-10-01,PAO DE ACUCAR 1717 RICA,189.11,2025-03-06
Restaurante,2023-10-01,INFINITO OLHAR CAFETER,23.0,2025-03-06
Alimentação,2023-10-01,ADRIANA PAES E DOCES,10.76,2025-03-06
Assinatura,2023-10-01,DL*GOOGLE GOOGLE,9.99,2025-03-06
Alimentação,2023-10-01,MERCADO OBA OBA LTDA M,30.87,2025-03-06
Utilidade Casa,2023-10-01,ZELO,32.83,2025-03-06
Internet,2023-10-01,VIVO EASY,33.0,2025-03-06
ELETRÔNICO,2023-10-01,AMAZON BR,33.9,2025-03-06
ALIMENTAÇÃO,2023-10-01,MARKET4U*COMPRA*172916,28.98,2025-03-06
Ferramentas,2023-10-01,MP*VSRMOTOS,31.54,2025-03-06
Alimentação,2023-10-01,MERCADO OBA OBA LTDA M,33.3,2025-03-06
Produtos Saúde,2023-10-01,DROGARIA SAO PAULO 002,61.96,2025-03-06
Alimentação,2023-10-01,MERCADO OBA OBA LTDA M,8.81,2025-03-06
Pet,2023-10-01,PET LOVE*ORDER10381887,128.44,2025-03-06
Pet,2023-10-01,PAG*LUIZCARLOSDOS,6.0,2025-03-06
Alimentação,2023-10-01,NESTLE BRASIL LTDA.,43.48,2025-03-06
Restaurante,2023-10-01,IFOOD  *IFD*PATTIES V,49.37,2025-03-06
Alimentação,2023-10-01,CORNERSHOP,193.2,2025-03-06
Restaurante,2023-10-01,MARKET4U*COMPRA*173545,4.3,2025-03-06
ELETRÔNICO,2023-10-01,SHOPEE*183567143181331,17.68,2025-03-06
Outros,2023-10-18,CULTS3D.COM,0.29,2025-03-06
Outros,2023-10-18,CULTS3D.COM,5.34,2025-03-06
Alimentação,2023-10-18,CORNERSHOP,3.67,2025-03-06
Vestimenta,2023-06-19,UA BRASIL,43.69,2025-03-06
Assinatura,2023-10-19,DL*GOOGLE YOUTUB,24.9,2025-03-06
Alimentação,2023-10-19,PAG*MERCADOOBAOBA,8.89,2025-03-06
Curso ,2023-10-19,DATACAMP INC.,16.85,2025-03-06
Curso ,2023-10-19,DATACAMP INC.,313.23,2025-03-06
Vestimenta,2023-09-20,MLP*NETSHOES,74.44,2025-03-06
ELETRÔNICO,2023-09-20,SHOPEE,34.46,2025-03-06
Utilidade Casa,2023-09-20,ALIEXPRESS,30.1,2025-03-06
RESTAURANTE,2023-10-20,MERCADO OBA OBA LTDA M,12.41,2025-03-06
Restaurante,2023-10-20,IFOOD  *IFD*ESFIHA IM,64.49,2025-03-06
Presentes,2023-08-21,MERCADOLIVRE*DELUCAJOIAS,37.99,2025-03-06
Utilidade Casa,2023-10-21,LOJAO DE VARIEDAD,30.0,2025-03-06
Utilidade Casa,2023-10-21,LOJAO DE VARIEDAD,40.5,2025-03-06
Restaurante,2023-10-22,IFOOD  *IFD*MAX DOG H,26.99,2025-03-06
Alimentação,2023-10-23,MERCADO OBA OBA LTDA M,24.68,2025-03-06
ALIMENTAÇÃO,2023-10-23,PAG*MARKET4U,4.31,2025-03-06
Outros,2023-09-24,STEAMGAMES.COM 4259522985,42.57,2025-03-06
Restaurante,2023-09-24,IFD*MCDONALDS - CURSINOC,32.92,2025-03-06
Outros,2023-09-24,STEAMGAMES.COM 4259522985,2.29,2025-03-06
Restaurante,2023-09-24,IFD*MCDONALDS - CURSINOC,-15.9,2025-03-06
Alimentação,2023-10-24,CORNERSHOP,115.06,2025-03-06
Alimentação,2023-10-24,PAG*FRANCISCOMEKARU,40.0,2025-03-06
Internet,2023-10-24,CONTA VIVO,289.6,2025-03-06
Alimentação,2023-10-24,COPA RIO ACOUGUE,67.96,2025-03-06
Restaurante,2023-10-24,PAG*MARKET4U,6.92,2025-03-06
Alimentação,2023-10-24,CORNERSHOP,4.88,2025-03-06
ALIMENTAÇÃO,2023-10-24,PAG*GLEISERLOMASDOS,16.0,2025-03-06
Alimentação,2023-09-25,CORNERSHOP,127.62,2025-03-06
Alimentação,2023-09-25,CORNERSHOP,1.85,2025-03-06
Alimentação,2023-09-25,MERCADO OBA OBA LTDA M,11.73,2025-03-06
ALIMENTAÇÃO,2023-10-25,PAG*MARKET4U,4.31,2025-03-06
Alimentação,2023-10-25,MERCADO OBA OBA LTDA M,11.15,2025-03-06
Eletrônico,2023-06-26,AMAZON MARKETPLACE,51.5,2025-03-06
Utilidade Casa,2023-08-26,CARREFOUR COM,53.62,2025-03-06
Vestimenta,2023-08-26,CEA SCN 160 ECPC,60.65,2025-03-06
Restaurante,2023-09-26,IFOOD  *IFD*PATTIES V,84.0,2025-03-06
Alimentação,2023-09-26,PAG*FRANCISCOMEKARU,20.0,2025-03-06
ELETRÔNICO,2023-09-26,SHOPEE,19.54,2025-03-06
Eletrônico,2023-08-27,SHOPEE*467074835944788,23.92,2025-03-06
ELETRÔNICO,2023-09-27,AMAZON BR,36.36,2025-03-06
ALIMENTAÇÃO,2023-09-27,MARKET4U*COMPRA*168193,27.91,2025-03-06
ELETRÔNICO,2023-09-27,AMAZON BR,12.31,2025-03-06
Manutenção,2023-07-28,AUTOZONE,52.96,2025-03-06
Alimentação,2023-09-28,CORNERSHOP,136.91,2025-03-06
Alimentação,2023-09-28,CORNERSHOP,115.15,2025-03-06
Alimentação,2023-09-28,CORNERSHOP,0.9,2025-03-06
Restaurante,2023-09-29,IFOOD  *IFD*CASA DA S,66.6,2025-03-06
ALIMENTAÇÃO,2023-09-29,MARKET4U*COMPRA*168692,4.3,2025-03-06
Restaurante,2023-09-30,MR PRETZELS - MOOCA,15.0,2025-03-06
Restaurante,2023-09-30,KALUNGA SHOPPING,10.49,2025-03-06
Estacionamento,2023-10-01,connectcar,100.0,2025-03-06
UTILIDADE CASA,2023-11-01,AMAZON MARKETPLACE,54.95,2025-03-06
Alimentação,2023-11-01,COPA RIO ACOUGUE,211.88,2025-03-06
Restaurante,2023-11-01,IFOOD  *IFD*PATTIES V,43.99,2025-03-06
Alimentação,2023-11-01,MERCADO OBA OBA LTDA M,9.0,2025-03-06
Manutenção,2023-11-01,MERCADOLIVRE*3PRODUTOS,134.49,2025-03-06
Alimentação,2023-11-02,ADIDAS,69.99,2025-03-06
Combustível,2023-11-02,ECO POSTO BANDEIRANTES,114.06,2025-03-06
Restaurante,2023-11-02,BK FIL CATARINA F,32.8,2025-03-06
Restaurante,2023-11-02,BEST CANDYZ,12.9,2025-03-06
Vestimenta,2023-11-02,FILA SAO ROQUE,74.94,2025-03-06
Manutenção,2023-11-01,MERCADOLIVRE*MARQUESPECAS,38.24,2025-03-06
Restaurante,2023-11-03,IFOOD  *IFD*PIZZARIA,71.9,2025-03-06
Viagem,2023-03-04,AZUL WE*SHYV7MRODRIGU,238.86,2025-03-06
Restaurante,2023-11-04,IFOOD  *IFD*CHIQUINHO,30.0,2025-03-06
Restaurante,2023-11-04,OUTBACK ANALIA FRANCO,132.89,2025-03-06
Produtos Saúde,2023-11-04,DROGASIL 1084,42.32,2025-03-06
Restaurante,2023-11-05,IFOOD  *IFD*OSNIR HAM,27.17,2025-03-06
Estacionamento,2023-11-06,PAYGO*GARAGEM ITAPRIAS,18.0,2025-03-06
Alimentação,2023-11-06,PAG*MARKET4U,23.07,2025-03-06
Alimentação,2023-11-06,AMAZON BR,18.08,2025-03-06
Vestimenta,2023-11-01,FILA ITUPEVA,56.63,2025-03-06
Vestimenta,2023-11-01,ADIDAS,80.49,2025-03-06
Vestimenta,2023-11-01,LOJA UNDER ARMOUR ITUP,59.49,2025-03-06
Outros,2023-11-07,ZP     *SYMPLA 6H4H4B,55.0,2025-03-06
Ferramentas,2023-11-01,MERCADOLIVRE*PALACIODASFE,34.72,2025-03-06
Eletrônico,2023-11-01,SHOPEE,24.91,2025-03-06
PLANOS,2023-11-08,BRIJA COM DE BEBIDAS,13.0,2025-03-06
Alimentação,2023-11-08,UBER *EATS HELP.UBER.COM,250.09,2025-03-06
Restaurante,2023-11-08,PAG*MARKET4U,4.31,2025-03-06
Produtos Saúde,2023-11-09,DROGARIA SAO PAULO 002,77.75,2025-03-06
Restaurante,2023-11-09,CURSINO,55.6,2025-03-06
Restaurante,2023-11-10,IFD*BR,6.89,2025-03-06
Restaurante,2023-11-10,IFOOD  *IFD*ESFIHA IM,36.06,2025-03-06
Combustível,2023-11-10,REDE CAMPEAO,100.0,2025-03-06
Restaurante,2023-11-11,CURSINO,13.9,2025-03-06
Restaurante,2023-11-11,PAG*MARITXUS,138.88,2025-03-06
Utilidade Casa,2023-11-11,EXTRACOM,235.39,2025-03-06
Produtos Saúde,2023-11-01,NATUS OTICA II,159.83,2025-03-06
Eletrônico,2023-03-12,AMAZON BR,114.99,2025-03-06
Planos,2023-03-12,AZUL WE*WDVIQLBRITO,316.14,2025-03-06
Planos,2023-03-12,AZUL WE*HCU6VLBRITO,311.8,2025-03-06
Restaurante,2023-11-12,JAFE LANCHETERIA,60.6,2025-03-06
Utilidade Casa,2023-11-12,TELHA NORTE,91.7,2025-03-06
Pet,2023-11-01,MERCADOLIVRE*OLISTSERVICO,56.16,2025-03-06
Alimentação,2023-11-13,UBER * EATS PENDING,-17.66,2025-03-06
Alimentação,2023-11-13,UBER *EATS HELP.UBER.COM,212.96,2025-03-06
UTILIDADE CASA,2023-11-01,MERCADOLIVRE*MMPLACE,37.05,2025-03-06
Alimentação,2023-11-01,NESTLE BRASIL LTDA.,36.1,2025-03-06
Assinatura,2023-11-14,DL*GOOGLE GOOGLE,9.99,2025-03-06
Alimentação,2023-11-14,MARKET4U*COMPRA*180840,17.98,2025-03-06
Pet,2023-11-15,AMAZON BR,13.8,2025-03-06
Internet,2023-11-15,VIVO EASY,33.0,2025-03-06
Manutenção,2023-11-15,AMAZON BR,20.95,2025-03-06
Ferramentas,2023-11-01,MP*VSRMOTOS,31.5,2025-03-06
Utilidade Casa,2023-11-16,TELHA NORTE,115.6,2025-03-06
Produtos Saúde,2023-11-01,DROGARIA SAO PAULO 002,61.96,2025-03-06
Restaurante,2023-11-17,IFOOD  *IFD*MARTA MAR,146.99,2025-03-06
Pet,2023-11-17,AMAZON BR,48.99,2025-03-06
Pet,2023-11-17,AMAZON BR,48.99,2025-03-06
Alimentação,2023-11-01,NESTLE BRASIL LTDA.,43.48,2025-03-06
Eletrônico,2023-11-01,SHOPEE*183567143181331,17.66,2025-03-06
Alimentação,2023-11-18,MERCADO OBA OBA LTDA M,17.65,2025-03-06
Restaurante,2023-11-18,ABRAAO DE MORAES,31.8,2025-03-06
Alimentação,2023-11-18,PAO DE ACUCAR 1717 RIC,123.56,2025-03-06
Produtos Saúde,2023-11-18,DROGARIA SAO PAULO 002,114.28,2025-03-06
Alimentação,2023-11-18,IFOOD  *IFD*MIMIC FOR,75.0,2025-03-06
Restaurante,2023-11-18,MARKET4U*COMPRA*182175,10.59,2025-03-06
Restaurante,2023-11-18,MARKET4U*COMPRA*181964,8.36,2025-03-06
Assinatura,2023-11-19,DL*GOOGLE YOUTUB,24.9,2025-03-06
Restaurante,2023-11-19,GRAO DO IPIRANGA,49.85,2025-03-06
Internet,2023-11-19,CONTA VIVO,289.6,2025-03-06
Restaurante,2023-11-19,STARBUCKS 054 SHO,19.0,2025-03-06
Presentes,2023-11-19,MONTECARLO,52.5,2025-03-06
Utilidade Casa,2023-09-20,ALIEXPRESS,30.1,2025-03-06
Eletrônico,2023-09-20,SHOPEE,34.46,2025-03-06
Alimentação,2023-11-20,"5M COMERCIO ATACADISTA",167.44,2025-03-06
Restaurante,2023-11-20,IFOOD  *IFD*ARCOS DOU,31.08,2025-03-06
Utilidade Casa,2023-11-20,SHO*ATELIDASMOLDURA,43.54,2025-03-06
Planos,2023-11-20,MONTECARLO,73.0,2025-03-06
Presentes,2023-08-21,MERCADOLIVRE*DELUCAJOIAS,37.99,2025-03-06
Restaurante,2023-11-21,MARKET4U*COMPRA*182796,3.29,2025-03-06
UTILIDADE CASA,2023-11-21,AMAZON BR,44.9,2025-03-06
Eletrônico,2023-06-26,AMAZON MARKETPLACE,51.5,2025-03-06
Vestimenta,2023-08-26,CEA SCN 160 ECPC,60.65,2025-03-06
Utilidade Casa,2023-08-26,CARREFOUR COM,53.62,2025-03-06
Restaurante,2023-10-26,PAG*MARKET4U,4.31,2025-03-06
UTILIDADE CASA,2023-10-27,MERCADOLIVRE*1PHIMLB,42.9,2025-03-06
Restaurante,2023-10-27,PAG*MARKET4U,12.32,2025-03-06
Manutenção,2023-07-28,AUTOZONE,52.96,2025-03-06
UTILIDADE CASA,2023-10-28,CB PLAZA SUL,21.4,2025-03-06
Restaurante,2023-10-28,IFOOD  *IFD*BLACK DOG,39.16,2025-03-06
Vestimenta,2023-10-28,FILA BR,44.23,2025-03-06
Vestimenta,2023-10-28,FILA BR,13.43,2025-03-06
Utilidade Casa,2023-10-28,DAISO BRASIL,34.96,2025-03-06
Utilidade Casa,2023-10-29,AMAZON BR,21.5,2025-03-06
Utilidade Casa,2023-10-29,AMAZON MARKETPLACE,23.99,2025-03-06
UTILIDADE CASA,2023-10-29,MERCADOLIVRE*MCHOPPERCAPA,67.32,2025-03-06
Utilidade Casa,2023-10-29,AMAZON MARKETPLACE,18.04,2025-03-06
Ferramentas,2023-10-29,SHPP BRASIL SERVICOS D,16.73,2025-03-06
Utilidade Casa,2023-10-29,AMAZON MARKETPLACE,-23.99,2025-03-06
Restaurante,2023-10-29,IFOOD  *IFD*ESFIHA IM,59.59,2025-03-06
ALIMENTAÇÃO,2023-10-31,PAG*MARKET4U,4.25,2025-03-06
Outros,2024-12-01,STEAM PURCHASE,0.47,2025-03-06
Outros,2024-12-01,STEAM PURCHASE,8.69,2025-03-06
Manutenção,2024-12-01,MERCADOLIVRE*3PRODUTOS,134.49,2025-03-06
Vestimenta,2024-11-02,FILA SAO ROQUE,74.93,2025-03-06
Restaurante,2024-12-01,STARBUCKS 082 SHO,19.0,2025-03-06
Utilidade Casa,2024-12-01,DAISO BRASIL,23.98,2025-03-06
Restaurante,2024-12-01,BURGER KING SHOPP,31.8,2025-03-06
Manutenção,2024-12-01,MERCADOLIVRE*MARQUESPECAS,38.24,2025-03-06
Restaurante,2024-12-01,MARKET4U*COMPRA*186050,23.68,2025-03-06
Eletrônico,2024-12-01,SHOPEE      *RTSTEC,19.74,2025-03-06
Viagem,2024-03-04,AZUL WE*SHYV7MRODRIGU,238.86,2025-03-06
Produtos Saúde,2024-11-04,DROGASIL 1084,42.32,2025-03-06
Curso ,2024-12-01,COURSRA*1B01QQGR6PFBY5,13.71,2025-03-06
Alimentação,2024-12-01,COPA RIO ACOUGUE,115.94,2025-03-06
Curso ,2024-12-01,COURSRA*1B01QQGR6PFBY5,254.76,2025-03-06
Vestimenta,2024-12-01,FILA ITUPEVA,56.63,2025-03-06
Eletrônico,2024-12-01,SHOPEE,24.91,2025-03-06
Restaurante,2024-12-01,IFOOD  *IFD*SORVETERI,38.99,2025-03-06
Produtos Saúde,2024-11-09,DROGARIA SAO PAULO 002,77.75,2025-03-06
Alimentação,2024-12-01,SUPERMERCADO VILA DAS F,211.68,2025-03-06
Combustível,2024-12-01,CENTRO AUTOMOTIVO AB,104.4,2025-03-06
Produtos Saúde,2024-12-01,DROGARIA SAO PAULO 002,95.39,2025-03-06
Restaurante,2024-12-01,IFOOD  *IFD*MIMIC FOR,59.99,2025-03-06
Utilidade Casa,2024-12-01,TELHA NORTE,9.58,2025-03-06
Restaurante,2024-12-01,PAG*ZIGPAY,22.0,2025-03-06
Restaurante,2024-12-01,IFOOD  *IFD*LANCHONET,67.19,2025-03-06
Restaurante,2024-12-01,MARKET4U*COMPRA*188184,6.49,2025-03-06
Estacionamento,2024-12-01,PAG*GAMAPARK,20.0,2025-03-06
Outros,2024-12-01,MP*ALAORGOSDAL,26.9,2025-03-06
Utilidade Casa,2024-11-11,EXTRACOM,235.39,2025-03-06
Eletrônico,2024-03-12,AMAZON BR,114.99,2025-03-06
Planos,2024-03-12,AZUL WE*WDVIQLBRITO,316.14,2025-03-06
Planos,2024-03-12,AZUL WE*HCU6VLBRITO,311.8,2025-03-06
Alimentação,2024-12-01,MERCADO OBA OBA LTDA M,31.96,2025-03-06
Restaurante,2024-12-01,MARKET4U*COMPRA*188895,3.57,2025-03-06
Alimentação,2024-12-01,PAG*GLEISERLOMASDOS,32.0,2025-03-06
Utilidade Casa,2024-12-01,PAG*LUIZCARLOSDOS,16.0,2025-03-06
Alimentação,2024-12-01,PAG*MERCADOOBAOBA,14.78,2025-03-06
Pet,2024-12-01,MERCADOLIVRE*OLISTSERVICO,56.16,2025-03-06
Restaurante,2024-12-01,MARKET4U*COMPRA*189002,3.57,2025-03-06
Restaurante,2024-12-01,MERCADO OBA OBA LTDA M,9.96,2025-03-06
Alimentação,2024-12-01,NESTLE BRASIL LTDA.,36.1,2025-03-06
Alimentação,2024-12-01,PAG*MERCADOOBAOBA,18.0,2025-03-06
Assinatura,2024-12-01,DL*GOOGLE GOOGLE,9.99,2025-03-06
Restaurante,2024-12-01,MARKET4U*COMPRA*189595,5.59,2025-03-06
Alimentação,2024-12-01,IFOOD  *IFD*MIMIC FOR,75.0,2025-03-06
Celular,2024-12-01,VIVO EASY,33.0,2025-03-06
Ferramentas,2024-12-01,MP*VSRMOTOS,31.5,2025-03-06
Alimentação,2024-12-01,"5M COMERCIO ATACADISTA",51.71,2025-03-06
Presentes,2024-12-01,DAISO BRASIL,110.42,2025-03-06
Alimentação,2024-12-01,PAO DE ACUCAR 1717 RIC,415.01,2025-03-06
Restaurante,2024-12-01,SHOPPING PLAZA SUL,15.9,2025-03-06
Eletrônico,2024-12-01,SHOPEE*183567143181331,17.66,2025-03-06
Alimentação,2024-12-01,MARKET4U*COMPRA*190656,15.7,2025-03-06
Restaurante,2024-12-01,MERCADO OBA OBA LTDA M,26.16,2025-03-06
Utilidade Casa,2024-12-01,SHPP BRASIL SERVICOS D,34.01,2025-03-06
Presentes,2024-11-19,MONTECARLO,52.5,2025-03-06
Pet,2024-12-01,PAG*LUIZCARLOSDOS,6.0,2025-03-06
Utilidade Casa,2024-12-01,AMAZON BR,20.88,2025-03-06
Alimentação,2024-12-01,PAG*FRANCISCOMEKARU,30.0,2025-03-06
Utilidade Casa,2024-12-01,AMAZON BR,11.8,2025-03-06
Assinatura,2024-12-01,DL*GOOGLE YOUTUB,24.9,2025-03-06
Planos,2024-11-20,MONTECARLO,73.0,2025-03-06
